asset,sequence_type,first_pct,second_pct,current_price,first_price_now,second_price_now,total_valid,first_hits,first_rate,second_hits_after_first,second_rate_after_first,real_move_from_first_to_second_pct,avg_days_to_first,avg_days_to_second
SOL-USD,dump,10,-10,77.56999969482422,85.32699966430664,69.8129997253418,40,19,47.5,3,15.789473684210526,-18.181818181818187,7.2105263157894735,15.0
SOL-USD,dump,10,-15,77.56999969482422,85.32699966430664,65.93449974060059,40,19,47.5,2,10.526315789473683,-22.72727272727274,7.2105263157894735,16.0
SOL-USD,dump,15,0,77.56999969482422,89.20549964904785,77.56999969482422,40,14,35.0,2,14.285714285714285,-13.043478260869556,11.428571428571429,14.0
SOL-USD,dump,15,-5,77.56999969482422,89.20549964904785,73.69149971008301,40,14,35.0,1,7.142857142857142,-17.391304347826086,11.428571428571429,17.0
SOL-USD,dump,15,-8,77.56999969482422,89.20549964904785,71.36439971923828,40,14,35.0,1,7.142857142857142,-19.999999999999996,11.428571428571429,17.0
SOL-USD,dump,15,-10,77.56999969482422,89.20549964904785,69.8129997253418,40,14,35.0,0,0.0,-21.739130434782606,11.428571428571429,
SOL-USD,dump,15,-15,77.56999969482422,89.20549964904785,65.93449974060059,40,14,35.0,0,0.0,-26.086956521739125,11.428571428571429,
SOL-USD,dump,20,0,77.56999969482422,93.08399963378906,77.56999969482422,40,12,30.0,0,0.0,-16.666666666666664,14.0,
SOL-USD,dump,20,-5,77.56999969482422,93.08399963378906,73.69149971008301,40,12,30.0,0,0.0,-20.833333333333336,14.0,
SOL-USD,dump,20,-8,77.56999969482422,93.08399963378906,71.36439971923828,40,12,30.0,0,0.0,-23.33333333333333,14.0,
SOL-USD,dump,20,-10,77.56999969482422,93.08399963378906,69.8129997253418,40,12,30.0,0,0.0,-25.0,14.0,
SOL-USD,dump,20,-15,77.56999969482422,93.08399963378906,65.93449974060059,40,12,30.0,0,0.0,-29.166666666666664,14.0,
DOGE-USD,bounce,-5,5,0.0725499987602233,0.06892249882221213,0.07617749869823448,40,36,90.0,6,16.666666666666664,10.526315789473696,6.75,15.666666666666666
DOGE-USD,bounce,-5,10,0.0725499987602233,0.06892249882221213,0.07980499863624564,40,36,90.0,3,8.333333333333332,15.789473684210531,6.75,9.666666666666666
DOGE-USD,bounce,-5,15,0.0725499987602233,0.06892249882221213,0.08343249857425679,40,36,90.0,3,8.333333333333332,21.052631578947366,6.75,13.333333333333334
DOGE-USD,bounce,-5,20,0.0725499987602233,0.06892249882221213,0.08705999851226796,40,36,90.0,3,8.333333333333332,26.315789473684205,6.75,14.333333333333334
DOGE-USD,bounce,-8,5,0.0725499987602233,0.06674599885940545,0.07617749869823448,40,34,85.0,4,11.76470588235294,14.130434782608692,8.705882352941176,19.75
DOGE-USD,bounce,-8,10,0.0725499987602233,0.06674599885940545,0.07980499863624564,40,34,85.0,1,2.941176470588235,19.565217391304344,8.705882352941176,12.0
DOGE-USD,bounce,-8,15,0.0725499987602233,0.06674599885940545,0.08343249857425679,40,34,85.0,1,2.941176470588235,24.99999999999998,8.705882352941176,21.0
DOGE-USD,bounce,-8,20,0.0725499987602233,0.06674599885940545,0.08705999851226796,40,34,85.0,1,2.941176470588235,30.43478260869563,8.705882352941176,22.0
DOGE-USD,bounce,-10,5,0.0725499987602233,0.06529499888420098,0.07617749869823448,40,32,80.0,3,9.375,16.666666666666675,9.25,22.333333333333332
DOGE-USD,bounce,-10,10,0.0725499987602233,0.06529499888420098,0.07980499863624564,40,32,80.0,0,0.0,22.222222222222232,9.25,
DOGE-USD,bounce,-10,15,0.0725499987602233,0.06529499888420098,0.08343249857425679,40,32,80.0,0,0.0,27.777777777777768,9.25,
DOGE-USD,bounce,-10,20,0.0725499987602233,0.06529499888420098,0.08705999851226796,40,32,80.0,0,0.0,33.33333333333333,9.25,
DOGE-USD,bounce,-15,5,0.0725499987602233,0.06166749894618981,0.07617749869823448,40,29,72.5,2,6.896551724137931,23.529411764705888,11.137931034482758,21.0
DOGE-USD,bounce,-15,10,0.0725499987602233,0.06166749894618981,0.07980499863624564,40,29,72.5,0,0.0,29.41176470588236,11.137931034482758,
DOGE-USD,bounce,-15,15,0.0725499987602233,0.06166749894618981,0.08343249857425679,40,29,72.5,0,0.0,35.29411764705881,11.137931034482758,
DOGE-USD,bounce,-15,20,0.0725499987602233,0.06166749894618981,0.08705999851226796,40,29,72.5,0,0.0,41.176470588235304,11.137931034482758,
DOGE-USD,dump,5,0,0.0725499987602233,0.07617749869823448,0.0725499987602233,40,20,50.0,17,85.0,-4.761904761904767,7.2,11.470588235294118
DOGE-USD,dump,5,-5,0.0725499987602233,0.07617749869823448,0.06892249882221213,40,20,50.0,15,75.0,-9.523809523809534,7.2,15.533333333333333
DOGE-USD,dump,5,-8,0.0725499987602233,0.07617749869823448,0.06674599885940545,40,20,50.0,13,65.0,-12.380952380952381,7.2,15.307692307692308
DOGE-USD,dump,5,-10,0.0725499987602233,0.07617749869823448,0.06529499888420098,40,20,50.0,11,55.00000000000001,-14.28571428571429,7.2,15.636363636363637
DOGE-USD,dump,5,-15,0.0725499987602233,0.07617749869823448,0.06166749894618981,40,20,50.0,9,45.0,-19.047619047619058,7.2,14.0
DOGE-USD,dump,10,0,0.0725499987602233,0.07980499863624564,0.0725499987602233,40,12,30.0,8,66.66666666666666,-9.090909090909093,7.25,11.25
DOGE-USD,dump,10,-5,0.0725499987602233,0.07980499863624564,0.06892249882221213,40,12,30.0,8,66.66666666666666,-13.636363636363647,7.25,14.0
DOGE-USD,dump,10,-8,0.0725499987602233,0.07980499863624564,0.06674599885940545,40,12,30.0,7,58.333333333333336,-16.36363636363637,7.25,14.571428571428571
DOGE-USD,dump,10,-10,0.0725499987602233,0.07980499863624564,0.06529499888420098,40,12,30.0,6,50.0,-18.181818181818187,7.25,15.833333333333334
DOGE-USD,dump,10,-15,0.0725499987602233,0.07980499863624564,0.06166749894618981,40,12,30.0,5,41.66666666666667,-22.72727272727274,7.25,14.6
DOGE-USD,dump,15,0,0.0725499987602233,0.08343249857425679,0.0725499987602233,40,7,17.5,3,42.857142857142854,-13.043478260869556,9.285714285714286,10.666666666666666
DOGE-USD,dump,15,-5,0.0725499987602233,0.08343249857425679,0.06892249882221213,40,7,17.5,3,42.857142857142854,-17.391304347826086,9.285714285714286,10.666666666666666
DOGE-USD,dump,15,-8,0.0725499987602233,0.08343249857425679,0.06674599885940545,40,7,17.5,3,42.857142857142854,-19.999999999999996,9.285714285714286,11.0
DOGE-USD,dump,15,-10,0.0725499987602233,0.08343249857425679,0.06529499888420098,40,7,17.5,2,28.57142857142857,-21.739130434782606,9.285714285714286,12.5
DOGE-USD,dump,15,-15,0.0725499987602233,0.08343249857425679,0.06166749894618981,40,7,17.5,2,28.57142857142857,-26.086956521739125,9.285714285714286,13.0
DOGE-USD,dump,20,0,0.0725499987602233,0.08705999851226796,0.0725499987602233,40,5,12.5,3,60.0,-16.666666666666664,11.6,16.666666666666668
DOGE-USD,dump,20,-5,0.0725499987602233,0.08705999851226796,0.06892249882221213,40,5,12.5,2,40.0,-20.833333333333336,11.6,11.5
DOGE-USD,dump,20,-8,0.0725499987602233,0.08705999851226796,0.06674599885940545,40,5,12.5,2,40.0,-23.33333333333333,11.6,12.0
DOGE-USD,dump,20,-10,0.0725499987602233,0.08705999851226796,0.06529499888420098,40,5,12.5,2,40.0,-25.0,11.6,12.5
DOGE-USD,dump,20,-15,0.0725499987602233,0.08705999851226796,0.06166749894618981,40,5,12.5,2,40.0,-29.166666666666664,11.6,13.0
